Transaction Date,Amount,Category,Description,Vendor,Invoice ID,Notes
01/02/2024,$1,200.00,Office Supplies,  Printer paper  ,Staples,INV-1001,
2024-01-03T14:22:10,$89.99,software,ADOBE subscription,Adobe,INV-1002,monthly plan
1/4/2024,"(45.67)",Meals,team lunch,Chipotle,INV-1003,
01-05-2024,$0.00,Travel,uber ride,Uber,INV-1004,reimbursable
,12.34,Office Supplies,pens and notebooks,Office Depot,INV-1005,missing date
01/07/2024,$1,200.00,Office Supplies,Printer paper,Staples,INV-1001,duplicate exact below
01/07/2024,$1,200.00,Office Supplies,Printer paper,Staples,INV-1001,duplicate exact
2024/01/08,$1,234.5,travel,Hotel stay,Hilton,INV-1006,amount has 1 decimal
13/01/2024,$150.00,Travel,Flight to NYC,Delta,INV-1007,EU-style date (ambiguous)
01/10/2024,$-25.00,Refund,Returned item,Amazon,INV-1008,negative with minus
2024-01-11T09:00:00Z,$19.99,Software,Zoom license,Zoom,INV-1009,timezone Z
01/12/2024,ABC,Office Supplies,invalid amount test,Staples,INV-1010,should flag invalid numeric
01/13/2024,$1,2O0.00,Office Supplies,looks like 1200 but has letter O,Staples,INV-1011,should flag invalid numeric
01/14/2024,$75.00,,missing category,Amazon,INV-1012,missing category
01/15/2024,$50.00,Meals,   ,Chipotle,INV-1013,blank description
01/16/2024,$35.00,Meals,team coffee,Starbucks,,missing invoice id
not a date,$25.00,Office Supplies,invalid date test,Staples,INV-1014,should flag invalid date
01/18/2024,$25.00,Office Supplies,invalid date test,Staples,INV-1014,duplicate invoice id but different date
02/30/2024,$18.00,Office Supplies,impossible date,Staples,INV-1015,should flag invalid date
01/20/2024,$,Office Supplies,only a dollar sign,Staples,INV-1016,invalid numeric
01/21/2024, ,Office Supplies,blank amount,Staples,INV-1017,invalid numeric
01/22/2024,N/A,Office Supplies,na amount,Staples,INV-1018,invalid numeric
01/23/2024,12..34,Office Supplies,double dot amount,Staples,INV-1019,invalid numeric
01/24/2024,1,234.56,Office Supplies,unquoted thousands separator splits columns,Staples,INV-1020,should load weird if not quoted
01/25/2024,"1,234.56",Office Supplies,quoted thousands amount ok,Staples,INV-1021,
01/26/2024,"(1,234.56)",Office Supplies,paren + comma amount ok,Staples,INV-1022,
01/27/2024,123.45-,Office Supplies,trailing minus amount,Staples,INV-1023,should flag invalid numeric in current normalizer
